CRM Id,Contact: First Name,Contact: Last Name,Status,Sign Up Date,Cancelled Date,Mobile,Email,Days Active,Days since login,State,Dialer Status,Payment Status,Last Login,Show Last Attended,Original Signup Date,Dialer Minutes: Last Week,Dialer Minutes: 2 Weeks Ago,Dialer Minutes: 3 Weeks Ago,Dialer Minutes Last Month,101/Basics Attendance,Dialer Minutes: Last 7 Days,Review Reason
77741141,Ashley,White,Active,5/23/2020,,(990) 647-9584,ashley.white0@email.com,3339.0,,NV,Disabled,Past Due,,,9/21/2010,,,,,yes,228.5,
553370185,Andrew,Nguyen,Active,9/26/2021,,(892) 650-9479,andrew.nguyen1@yahoo.com,4324.0,28.0,NV,Active,recurring,10/24/2019,9/22/2024,10/19/2016,90.4,,,,,,
76617378,Alicia,White,Cancelled,9/8/2013,,(346) 278-0892,alicia.white4@gmail.com,1095.0,,NV,Inactive,current,,,,,,,,Yes,,
35896067,Nina,Wilson,Cancelled,5/26/2021,7/8/2024,(305) 450-1867,nina.wilson0@outlook.com,1135.0,17.0,AZ,Active,Failed,,9/5/2018,2/26/2021,,,,,2 classes,,
28404824,Ashley,Robinson,Past Due,9/29/2015,,(539) 361-3640,ashley.robinson0@email.com,1345.0,298.0,NV,Inactive,recurring,10/16/2025,,6/29/2025,,,,,1 class,,
785977563,Sarah,Brown,canceled,12/1/2012,,(934) 390-9076,sarah.brown4@outlook.com,3793.0,,FL,Inactive,Current,11/25/2023,4/7/2016,,,213.8,,,1 class,104.1,
316844758,Luis,Lopez,Paused,4/15/2012,1/18/2023,(641) 694-0914,luis.lopez4@yahoo.com,2891.0,54.0,CA,Inactive,Current,11/11/2021,,8/26/2013,,,,,Yes,,
360932358,Kevin,Taylor,ACTIVE,4/8/2015,6/29/2025,(209) 619-0415,kevin.taylor5@yahoo.com,,257.0,CA,Disabled,Current,,,5/6/2023,466.1,413.1,,,2 classes,,
490241571,Bianca,Jackson,canceled,1/29/2021,4/23/2022,(792) 942-4893,bianca.jackson0@gmail.com,2122.0,,CO,Active,Failed,,9/21/2024,6/4/2013,,,87.7,,,,
553139216,Tina,Brown,Paused,7/28/2012,,(813) 484-6434,tina.brown1@example.org,1871.0,,TX,Active,Past Due,,9/6/2017,1/12/2023,,42.8,,343.5,Never attended,,
884616702,Caleb,Robinson,Paused,12/25/2019,,(222) 980-6418,caleb.robinson4@yahoo.com,2289.0,,CA,Inactive,recurring,11/5/2024,,,264.3,137.9,,,Never attended,,
436425390,Bianca,Robinson,Past Due,8/20/2013,,(566) 559-8273,bianca.robinson5@email.com,4977.0,,CA,Disabled,Failed,9/24/2017,,,,,,,yes,,
262066310,Xavier,Brown,Past Due,2/13/2012,,(576) 807-8958,xavier.brown0@yahoo.com,2216.0,,CA,Disabled,Recurring,10/1/2019,,2/1/2019,163.1,436.1,,,yes,,
464077108,Miguel,Brown,Past Due,11/9/2017,,(893) 970-0295,miguel.brown3@gmail.com,2158.0,,NV,Disabled,Recurring,6/24/2024,,,10.1,,,,,,
