CRM Id,Contact: First Name,Contact: Last Name,Status,Sign Up Date,Cancelled Date,Mobile,Email,Days Active,Days since login,State,Dialer Status,Payment Status,Last Login,Show Last Attended,Original Signup Date,Dialer Minutes: Last Week,Dialer Minutes: 2 Weeks Ago,Dialer Minutes: 3 Weeks Ago,Dialer Minutes Last Month,101/Basics Attendance,Dialer Minutes: Last 7 Days,Review Reason
1044926608,Bianca,Garcia,Past Due,6/23/2022,10/6/2017,(534) 811-2116,,4212.0,,NV,Inactive,Past Due,4/4/2014,,1/2/2016,268.9,487.8,,195.1,No,225.2,Missing Email
640921888,Marcus,Nguyen,Trialing,10/31/2013,,(958) 564-4535,marcusnguyen3@outlookcom,4346.0,24.0,,Inactive,Current,8/29/2023,,1/13/2010,,489.1,361.1,,,,Missing State; Invalid Email; Invalid State
397012092,Isabel,Taylor,Past Due,9/8/2016,,(420) 874-5494,,3547.0,140.0,WA,Inactive,Past Due,,,10/20/2010,118.7,209.8,,,1 class,469.1,Missing Email
397012101,Isabel,Taylor,Past Due,9/8/2016,,(420) 874-5494,,3547.0,140.0,WA,Inactive,Past Due,,,10/20/2010,118.7,209.8,,,1 class,469.1,Missing Email
991555106,Nina,Harris,Cancelled,5/17/2022,,(407) 955-9383,,3351.0,,,active,Recurring,,,1/5/2011,,,,,1 class,,Missing Email; Missing State; Invalid State
656330406,Marcus,Harris,active,12/22/2017,,(528) 593-7533,marcusharris2@exampleorg,2771.0,,CA,active,recurring,,,,,,387.5,48.9,Never attended,433.8,Invalid Email
468055438,Monique,,Paused,4/18/2019,12/19/2020,(701) 371-2535,,561.0,,TX,active,Past Due,12/23/2023,,2/16/2011,,,,,yes,,Missing Contact: Last Name; Missing Email
1013709800,,Johnson,Cancelled,4/26/2014,12/16/2017,,omar.johnson4@outlook.com,550.0,4.0,UT,active,current,1/27/2013,2/6/2013,4/11/2015,,,347.4,,,425.0,Missing Contact: First Name; Missing Mobile; Invalid Mobile
993704844,Andrew,Thomas,Cancelled,2/22/2018,,(866) 660-2341,andrewthomas5@emailcom,5195.0,370.0,NV,Active,Current,10/1/2019,,,,,,,,,Invalid Email
470433069,Trent,Moore,Past Due,10/17/2016,,(670) 465-3154,,,,NV,Active,Past Due,2/3/2026,,9/1/2016,,108.9,,266.3,No,,Missing Email
900103870,Jared,Lopez,ACTIVE,6/3/2023,10/10/2020,(862) 433-8123,,2159.0,,AZ,Needs Setup,Current,6/26/2014,1/16/2021,6/22/2023,,,,,Never attended,,Missing Email
16544762,Andrew,Thompson,active,4/9/2014,,,andrewthompson3@yahoocom,418.0,201.0,UT,Needs Setup,Failed,9/17/2019,5/20/2019,,,440.3,151.2,,1 class,,Missing Mobile; Invalid Email; Invalid Mobile
911105049,Maria,Taylor,Active,3/6/2014,,,maria.taylor5@outlook.com,1690.0,,TX,Active,Failed,9/11/2016,,1/3/2022,,,,,2 classes,,Missing Mobile; Invalid Mobile
303269672,,Robinson,Active,9/2/2014,,(498) 325-1339,,888.0,,NV,active,Past Due,,,9/14/2011,336.3,297.8,151.8,,No,,Missing Contact: First Name; Missing Email
528250502,Monique,Moore,Past Due,3/26/2013,,(410) 410-1854,,1814.0,,CA,Needs Setup,Current,6/12/2024,,2/16/2014,249.7,,,405.9,2 classes,337.3,Missing Email
528250506,Monique,Moore,Past Due,3/26/2013,,(410) 410-1854,,1814.0,,CA,Needs Setup,Current,6/12/2024,,2/16/2014,249.7,,,405.9,2 classes,337.3,Missing Email
985102248,Miguel,Wilson,Past Due,12/17/2025,4/11/2025,,miguelwilson2@emailcom,193.0,0.0,CO,Active,Failed,7/6/2022,7/19/2013,9/11/2015,,,,9.0,1 class,,Missing Mobile; Invalid Email; Invalid Mobile
70852040,Jared,,Trialing,3/10/2012,3/3/2020,(529) 945-8066,jaredrobinson3@outlookcom,1968.0,17.0,FL,Active,Canceled,3/24/2017,,11/16/2011,,,358.6,,2 classes,,Missing Contact: Last Name; Invalid Email
860195919,Caleb,White,Active,3/4/2013,,(386) 469-9970,calebwhite6@outlookcom,4481.0,,AZ,Inactive,Past Due,6/25/2025,5/5/2018,,,,,,,369.3,Invalid Email
646931373,Kevin,Johnson,Past Due,6/17/2022,,(529) 834-8487,,4209.0,,CA,Inactive,Failed,8/18/2013,,2/23/2020,178.2,,,237.0,,364.3,Missing Email
646931379,Kevin,Johnson,Past Due,6/17/2022,,(529) 834-8487,,4209.0,,CA,Inactive,Failed,8/18/2013,,2/23/2020,178.2,,,237.0,,364.3,Missing Email
188359864,Bianca,Johnson,canceled,11/30/2023,12/31/2021,(444) 937-8569,,596.0,69.0,WA,Disabled,Current,4/12/2026,,6/29/2010,76.8,271.1,,209.2,2 classes,,Missing Email
381341699,Kevin,Martinez,ACTIVE,1/4/2019,,(876) 823-8204,kevinmartinez1@exampleorg,1782.0,363.0,UT,Active,Canceled,12/24/2014,,12/20/2016,,447.5,441.6,252.1,Never attended,,Invalid Email
958787027,Hannah,Thompson,ACTIVE,3/15/2012,,,,2559.0,54.0,NV,Active,Canceled,1/24/2023,3/21/2026,11/15/2015,160.5,,234.9,25.1,,,Missing Mobile; Missing Email; Invalid Mobile
629892958,Ashley,Davis,active,11/16/2025,,,ashley.davis4@example.org,4544.0,64.0,AZ,active,Current,,8/8/2014,,,467.4,,,Never attended,80.8,Missing Mobile; Invalid Mobile
