CRM Id,Contact: First Name,Contact: Last Name,Status,Sign Up Date,Cancelled Date,Contact: Mobile,Contact: Email,Days Active,Days since login,Billing State/Province,State,Dialer Status,Payment Status,Last Login,Show Last Attended,Original Signup Date,Dialer Minutes: Last Week,Dialer Minutes: 2 Weeks Ago,Dialer Minutes: 3 Weeks Ago,Dialer Minutes Last Month,101/Basics Attendance,Dialer Minutes: Last 7 Days
77741141,Ashley,White,Active,5/23/2020,,+1 990 647 9584,ASHLEY.WHITE0@EMAIL.COM,3339,,FL,NV,Disabled,Past Due,,,9/21/2010,,,,,yes,228.5
553370185,andrew,Nguyen,Active,9/26/2021,,8926509479,andrew.nguyen1@yahoo.com,4324,28,Nevada,Nevada,Active,recurring,10/24/2019,9/22/2024,10/19/2016,90.4,,,,,
1044926608,Bianca,GARCIA,Past Due,6/23/2022,10/6/2017,534-811-2116,,4212,,nv,NV,Inactive,Past Due,4/4/2014,,1/2/2016,268.9,487.8,,195.1,No,225.2
640921888,marcus,Nguyen,Trialing,10/31/2013,,(958) 564-4535,marcusnguyen3@outlookcom,4346,24,WA,,Inactive,Current,8/29/2023,,1/13/2010,,489.1,361.1,,,
76617378,Alicia,white,Cancelled,9/8/2013,,(346) 278-0892,ALICIA.WHITE4@GMAIL.COM,1095,,,Nevada,Inactive,current,,,,,,,,Yes,
397012092,isabel,taylor,Past Due,9/8/2016,,420.874.5494,,3547,140,UT,WA,Inactive,Past Due,,,10/20/2010,118.7,209.8,,,1 class,469.1
397012101,isabel,taylor,Past Due,9/8/2016,,4208745494,,3547,140,UT,WA,Inactive,Past Due,,,10/20/2010,118.7,209.8,,,1 class,469.1
35896067,Nina,wilson,Cancelled,5/26/2021,7/8/2024,3054501867,nina.wilson0@outlook.com,1135,17,nv,AZ,Active,Failed,,9/5/2018,2/26/2021,,,,,2 classes,
991555106,nina,HARRIS,Cancelled,5/17/2022,,(407) 955-9383,,3351,,CO,,active,Recurring,,,1/5/2011,,,,,1 class,
656330406,Marcus,harris,active,12/22/2017,,5285937533,marcusharris2@exampleorg,2771,,CA,CA,active,recurring,,,,,,387.5,48.9,Never attended,433.8
468055438,monique,,Paused,4/18/2019,12/19/2020,701.371.2535,,561,,nv,TX,active,Past Due,12/23/2023,,2/16/2011,,,,,yes,
1013709800,,Johnson,Cancelled,4/26/2014,12/16/2017,,OMAR.JOHNSON4@OUTLOOK.COM,550,4,CA,UT,active,current,1/27/2013,2/6/2013,4/11/2015,,,347.4,,,425
993704844,ANDREW,Thomas,Cancelled,2/22/2018,,8666602341,andrewthomas5@emailcom,5195,370,,NV,Active,Current,10/1/2019,,,,,,,,
993704848,ANDREW,Thomas,Cancelled,2/22/2018,,8666602341,andrewthomas5@emailcom,5195,370,,NV,Active,Current,10/1/2019,,,,,,,,
28404824,ASHLEY,Robinson,Past Due,9/29/2015,,(539) 361-3640,ASHLEY.ROBINSON0@EMAIL.COM,1345,298,CO,NV,Inactive,recurring,10/16/2025,,6/29/2025,,,,,1 class,
470433069,Trent,moore,Past Due,10/17/2016,,670.465.3154,,,,UT,Nevada,Active,Past Due,2/3/2026,,9/1/2016,,108.9,,266.3,No,
900103870,Jared,lopez,ACTIVE,6/3/2023,10/10/2020,+1 862 433 8123,,2159,,WA,AZ,Needs Setup,Current,6/26/2014,1/16/2021,6/22/2023,,,,,Never attended,
16544762,ANDREW,Thompson,active,4/9/2014,,,andrewthompson3@yahoocom,418,201,Nevada,UT,Needs Setup,Failed,9/17/2019,5/20/2019,,,440.3,151.2,,1 class,
785977563,Sarah,Brown,canceled,12/1/2012,,934.390.9076,sarah.brown4@outlook.com,3793,,WA,FL,Inactive,Current,11/25/2023,4/7/2016,,,213.8,,,1 class,104.1
911105049,Maria,TAYLOR,Active,3/6/2014,,,maria.taylor5@outlook.com,1690,,FL,TX,Active,Failed,9/11/2016,,1/3/2022,,,,,2 classes,
303269672,,Robinson,Active,9/2/2014,,+1 498 325 1339,,888,,FL,Nevada,active,Past Due,,,9/14/2011,336.3,297.8,151.8,,No,
528250502,monique,MOORE,Past Due,3/26/2013,,+1 410 410 1854,,1814,,CA,CA,Needs Setup,Current,6/12/2024,,2/16/2014,249.7,,,405.9,2 classes,337.3
528250506,monique,MOORE,Past Due,3/26/2013,,4104101854,,1814,,CA,CA,Needs Setup,Current,6/12/2024,,2/16/2014,249.7,,,405.9,2 classes,337.3
985102248,miguel,wilson,Past Due,12/17/2025,4/11/2025,,miguelwilson2@emailcom,193,0,UT,CO,Active,Failed,7/6/2022,7/19/2013,9/11/2015,,,,9,1 class,
70852040,jared,,Trialing,3/10/2012,3/3/2020,529-945-8066,jaredrobinson3@outlookcom,1968,17,Nevada,FL,Active,Canceled,3/24/2017,,11/16/2011,,,358.6,,2 classes,
316844758,LUIS,Lopez,Paused,4/15/2012,1/18/2023,6416940914,luis.lopez4@yahoo.com,2891,54,TX,ca,Inactive,Current,11/11/2021,,8/26/2013,,,,,Yes,
360932358,Kevin,taylor,ACTIVE,4/8/2015,6/29/2025,2096190415,kevin.taylor5@yahoo.com,,257,UT,ca,Disabled,Current,,,5/6/2023,466.1,413.1,,,2 classes,
860195919,Caleb,WHITE,Active,3/4/2013,,+1 386 469 9970,calebwhite6@outlookcom,4481,,California,AZ,Inactive,Past Due,6/25/2025,5/5/2018,,,,,,,369.3
490241571,Bianca,JACKSON,canceled,1/29/2021,4/23/2022,+1 792 942 4893,bianca.jackson0@gmail.com,2122,,CO,CO,Active,Failed,,9/21/2024,6/4/2013,,,87.7,,,
553139216,Tina,Brown,Paused,7/28/2012,,8134846434,tina.brown1@example.org,1871,,WA,TX,Active,Past Due,,9/6/2017,1/12/2023,,42.8,,343.5,Never attended,
646931373,Kevin,johnson,Past Due,6/17/2022,,529-834-8487,,4209,,Nevada,ca,Inactive,Failed,8/18/2013,,2/23/2020,178.2,,,237,,364.3
646931379,Kevin,johnson,Past Due,6/17/2022,,5298348487,,4209,,Nevada,ca,Inactive,Failed,8/18/2013,,2/23/2020,178.2,,,237,,364.3
884616702,Caleb,Robinson,Paused,12/25/2019,,222.980.6418,CALEB.ROBINSON4@YAHOO.COM,2289,,AZ,ca,Inactive,recurring,11/5/2024,,,264.3,137.9,,,Never attended,
436425390,Bianca,ROBINSON,Past Due,8/20/2013,,566.559.8273,bianca.robinson5@email.com,4977,,nv,CA,Disabled,Failed,9/24/2017,,,,,,,yes,
188359864,bianca,Johnson,canceled,11/30/2023,12/31/2021,444.937.8569,,596,69,UT,WA,Disabled,Current,4/12/2026,,6/29/2010,76.8,271.1,,209.2,2 classes,
262066310,Xavier,BROWN,Past Due,2/13/2012,,5768078958,xavier.brown0@yahoo.com,2216,,UT,CA,Disabled,Recurring,10/1/2019,,2/1/2019,163.1,436.1,,,yes,
381341699,KEVIN,Martinez,ACTIVE,1/4/2019,,876-823-8204,kevinmartinez1@exampleorg,1782,363,UT,UT,Active,Canceled,12/24/2014,,12/20/2016,,447.5,441.6,252.1,Never attended,
958787027,Hannah,THOMPSON,ACTIVE,3/15/2012,,,,2559,54,WA,NV,Active,Canceled,1/24/2023,3/21/2026,11/15/2015,160.5,,234.9,25.1,,
464077108,Miguel,Brown,Past Due,11/9/2017,,(893) 970-0295,MIGUEL.BROWN3@GMAIL.COM,2158,,AZ,Nevada,Disabled,Recurring,6/24/2024,,,10.1,,,,,
629892958,Ashley,davis,active,11/16/2025,,,ashley.davis4@example.org,4544,64,UT,AZ,active,Current,,8/8/2014,,,467.4,,,Never attended,80.8
